ISO,Names
SOM,"[Somalia,Somalia,Somalia,Somalia,Federal Republic of Somalia,Somalia]"
SPM,"[Saint Pierre and Miquelon,Saint Pierre and Miquelon,St. Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon,St. Pierre and Miquelon]"
SRB,"[Republic of Serbia,Republic of Serbia,Serbia,Serbia,Republic of Serbia,Serbia]"
STP,"[Sao Tome and Principe,Sao Tome and Principe,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,São Tomé and Principe]"
SUR,"[Suriname,Suriname,Suriname,Suriname,Republic of Suriname,Suriname]"
SVK,"[Slovakia,Slovakia,Slovakia,Slovakia,Slovak Republic,Slovak Republic]"
SVN,"[Slovenia,Slovenia,Slovenia,Slovenia,Republic of Slovenia,Slovenia]"
SWE,"[Sweden,Sweden,Sweden,Sweden,Kingdom of Sweden,Sweden]"
SWZ,"[Swaziland,Swaziland,Swaziland,Swaziland,Kingdom of Swaziland,Swaziland]"
SXM,"[Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten (Dutch part),St. Maarten (Dutch part)]"
SYC,"[Seychelles,Seychelles,Seychelles,Seychelles,Republic of Seychelles,Seychelles]"
SYR,"[Syria,Syria,Syria,Syria,Syrian Arab Republic,Syrian Arab Republic]"
TCA,"[Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Is.,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands]"
TCD,"[Chad,Chad,Chad,Chad,Republic of Chad,Chad]"
TGO,"[Togo,Togo,Togo,Togo,Togolese Republic,Togo]"
THA,"[Thailand,Thailand,Thailand,Thailand,Kingdom of Thailand,Thailand]"
TJK,"[Tajikistan,Tajikistan,Tajikistan,Tajikistan,Republic of Tajikistan,Tajikistan]"
TKM,"[Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan]"
TLS,"[East Timor,East Timor,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,Timor-Leste]"
TON,"[Tonga,Tonga,Tonga,Tonga,Kingdom of Tonga,Tonga]"
TTO,"[Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago]"
TUN,"[Tunisia,Tunisia,Tunisia,Tunisia,Republic of Tunisia,Tunisia]"
TUR,"[Turkey,Turkey,Turkey,Turkey,Republic of Turkey,Turkey]"
TUV,"[Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu]"
TWN,"[Taiwan,Taiwan,Taiwan,Taiwan,,Taiwan]"
TZA,"[United Republic of Tanzania,Tanzania,Tanzania,Tanzania,United Republic of Tanzania,Tanzania]"
UGA,"[Uganda,Uganda,Uganda,Uganda,Republic of Uganda,Uganda]"
UKR,"[Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine]"
URY,"[Uruguay,Uruguay,Uruguay,Uruguay,Oriental Republic of Uruguay,Uruguay]"
USA,"[United States of America,United States of America,United States,United States,United States of America,United States of America]"
UZB,"[Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Republic of Uzbekistan,Uzbekistan]"
VAT,"[Vatican,Vatican,Vatican,Vatican,State of the Vatican City,Vatican (Holy Sea)]"
VCT,"[Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St. Vin. and Gren.,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St. Vincent and the Grenadines]"
VEN,"[Venezuela,Venezuela,Venezuela,Venezuela,Bolivarian Republic of Venezuela,Venezuela, RB]"
VGB,"[British Virgin Islands,British Virgin Islands,British Virgin Is.,British Virgin Islands,British Virgin Islands,British Virgin Islands]"
VIR,"[United States Virgin Islands,United States Virgin Islands,U.S. Virgin Is.,United States Virgin Islands,Virgin Islands of the United States,Virgin Islands (U.S.)]"
VNM,"[Vietnam,Vietnam,Vietnam,Vietnam,Socialist Republic of Vietnam,Vietnam]"
VUT,"[Vanuatu,Vanuatu,Vanuatu,Vanuatu,Republic of Vanuatu,Vanuatu]"
WLF,"[Wallis and Futuna,Wallis and Futuna,Wallis and Futuna Is.,Wallis and Futuna Islands,Wallis and Futuna Islands,Wallis and Futuna]"
WSM,"[Samoa,Samoa,Samoa,Samoa,Independent State of Samoa,Samoa]"
YEM,"[Yemen,Yemen,Yemen,Yemen,Republic of Yemen,Yemen, Rep.]"
ZAF,"[South Africa,South Africa,South Africa,South Africa,Republic of South Africa,South Africa]"
ZMB,"[Zambia,Zambia,Zambia,Zambia,Republic of Zambia,Zambia]"
ZWE,"[Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Republic of Zimbabwe,Zimbabwe]"
